,Unnamed: 0,Unnamed: 0.1,date,index,day_index,ticker,close,volume,vwap,change,P/E,EPS,PEG
0,0,98868,3/15/2018,98868,0,QCOM,57.4373,10494322,57.4392,0.0,0.0,0,0.0
1,1,98869,3/16/2018,98869,0,QCOM,58.1374,25574509,58.2793,0.7000999999999991,0.0,0,0.0
2,2,98870,3/19/2018,98870,0,QCOM,55.9795,14131356,56.1883,-2.157899999999998,0.0,0,0.0
3,3,98871,3/20/2018,98871,0,QCOM,55.873999999999995,10615366,55.9361,-0.10549999999999926,0.0,0,0.0
4,4,98872,3/21/2018,98872,0,QCOM,54.4834,12231943,55.0968,-1.3905999999999992,0.0,0,0.0
5,5,98873,3/22/2018,98873,0,QCOM,53.3038,13554586,53.75899999999999,-1.1796000000000006,0.0,0,0.0
6,6,98874,3/23/2018,98874,0,QCOM,51.4624,14713281,52.4338,-1.8414,0.0,0,0.0
7,7,98875,3/26/2018,98875,0,QCOM,53.8312,12093907,53.0016,2.3688,0.0,0,0.0
8,8,98876,3/27/2018,98876,0,QCOM,52.5941,12243196,53.4016,-1.2371000000000052,0.0,0,0.0
9,9,98877,3/28/2018,98877,0,QCOM,52.4598,12925503,52.8114,-0.1342999999999961,0.0,0,0.0
10,10,98878,3/29/2018,98878,0,QCOM,53.1407,8482462,53.0604,0.6809000000000012,0.0,0,0.0
11,11,98879,4/2/2018,98879,0,QCOM,51.6063,16469583,51.5823,-1.5344000000000049,0.0,0,0.0
12,12,98880,4/3/2018,98880,0,QCOM,52.5365,7930674,52.1792,0.9301999999999992,0.0,0,0.0
13,13,98881,4/4/2018,98881,0,QCOM,52.7379,7496667,52.0285,0.20140000000000668,0.0,0,0.0
14,14,98882,4/5/2018,98882,0,QCOM,52.7859,5823253,52.6677,0.04799999999999472,0.0,0,0.0
15,15,98883,4/6/2018,98883,0,QCOM,50.9445,8322160,51.5762,-1.8414,0.0,0,0.0
16,16,98884,4/9/2018,98884,0,QCOM,51.2418,7608458,51.7068,0.2972999999999999,0.0,0,0.0
17,17,98885,4/10/2018,98885,0,QCOM,52.5269,12331362,52.4911,1.2851,0.0,0,0.0
18,18,98886,4/11/2018,98886,0,QCOM,52.7571,6205294,52.5827,0.2302000000000035,0.0,0,0.0
19,19,98887,4/12/2018,98887,0,QCOM,52.9393,7412746,52.9922,0.1822000000000017,0.0,0,0.0
20,20,98888,4/13/2018,98888,0,QCOM,53.4476,12588216,53.6229,0.5082999999999984,0.0,0,0.0
21,21,98889,4/16/2018,98889,0,QCOM,52.5269,7850467,52.7641,-0.9207000000000036,0.0,0,0.0
22,22,98890,4/17/2018,98890,0,QCOM,53.0832,7089710,53.1502,0.5563000000000002,0.0,0,0.0
23,23,98891,4/18/2018,98891,0,QCOM,52.9681,4796812,52.9848,-0.1150999999999982,0.0,0,0.0
24,24,98892,4/19/2018,98892,0,QCOM,50.417,19179461,50.757,-2.5510999999999977,0.0,0,0.0
25,25,98893,4/20/2018,98893,0,QCOM,49.3333,11838157,49.7062,-1.0837000000000003,0.0,0,0.0
26,26,98894,4/23/2018,98894,0,QCOM,48.4606,10961471,48.736999999999995,-0.8727000000000018,0.0,0,0.0
27,27,98895,4/24/2018,98895,0,QCOM,47.8947,11670049,48.0003,-0.5658999999999992,0.0,0,0.0
28,28,98896,4/25/2018,98896,0,QCOM,47.7125,9619236,47.6019,-0.1822000000000017,0.0,0,0.0
29,29,98897,4/26/2018,98897,0,QCOM,48.403,13683975,47.8569,0.6905000000000001,0.0,0,0.0
30,30,98898,4/27/2018,98898,0,QCOM,49.0168,9443094,48.9265,0.6138000000000048,0.0,0,0.0
31,31,98899,4/30/2018,98899,0,QCOM,48.9209,9469642,49.1478,-0.09590000000000032,75.26292307692307,0.6500,1106.8076923076922
32,32,98900,5/1/2018,98900,0,QCOM,48.7387,6780517,48.4414,-0.1822000000000017,0.0,0,0.0
33,33,98901,5/2/2018,98901,0,QCOM,48.2016,8142996,48.4046,-0.5371000000000024,0.0,0,0.0
34,34,98902,5/3/2018,98902,0,QCOM,48.2496,8609168,47.9644,0.04800000000000182,0.0,0,0.0
35,35,98903,5/4/2018,98903,0,QCOM,50.3403,9880580,49.7754,2.0906999999999982,0.0,0,0.0
36,36,98904,5/7/2018,98904,0,QCOM,50.839,9571714,50.7787,0.4986999999999995,0.0,0,0.0
37,37,98905,5/8/2018,98905,0,QCOM,50.6952,9929970,50.4231,-0.14379999999999882,0.0,0,0.0
38,38,98906,5/9/2018,98906,0,QCOM,50.9925,7016103,50.7387,0.2972999999999999,0.0,0,0.0
39,39,98907,5/10/2018,98907,0,QCOM,52.7187,12267198,52.4687,1.7261999999999986,0.0,0,0.0
40,40,98908,5/11/2018,98908,0,QCOM,52.9681,9639137,53.0398,0.2494000000000014,0.0,0,0.0
41,41,98909,5/14/2018,98909,0,QCOM,54.4163,15400256,54.5458,1.4482,0.0,0,0.0
42,42,98910,5/15/2018,98910,0,QCOM,53.3613,12050469,53.3785,-1.0549999999999995,0.0,0,0.0
43,43,98911,5/16/2018,98911,0,QCOM,54.3779,8675559,54.2153,1.0165999999999968,0.0,0,0.0
44,44,98912,5/17/2018,98912,0,QCOM,54.6177,11450651,54.6369,0.2398000000000025,0.0,0,0.0
45,45,98913,5/18/2018,98913,0,QCOM,55.1547,11999712,55.0901,0.5369999999999989,0.0,0,0.0
46,46,98914,5/21/2018,98914,0,QCOM,55.3465,14286354,55.0513,0.19180000000000064,0.0,0,0.0
47,47,98915,5/22/2018,98915,0,QCOM,55.0396,9432465,55.208,-0.30689999999999884,0.0,0,0.0
48,48,98916,5/23/2018,98916,0,QCOM,56.4111,11322475,55.8757,1.3714999999999975,0.0,0,0.0
49,49,98917,5/24/2018,98917,0,QCOM,56.6604,12487193,56.3241,0.2493000000000052,0.0,0,0.0
50,50,98918,5/25/2018,98918,0,QCOM,57.5044,11501515,57.1366,0.8439999999999941,0.0,0,0.0
51,51,98919,5/29/2018,98919,0,QCOM,56.4287,14696263,56.54,-1.0756999999999977,0.0,0,0.0
52,52,98920,5/30/2018,98920,0,QCOM,56.5838,9145989,56.5323,0.15509999999999735,0.0,0,0.0
53,53,98921,5/31/2018,98921,0,QCOM,56.3221,12813170,56.3584,-0.2616999999999976,0.0,0,0.0
54,54,98922,6/1/2018,98922,0,QCOM,56.797,8869656,56.5881,0.4748999999999981,0.0,0,0.0
55,55,98923,6/4/2018,98923,0,QCOM,56.8939,9696722,56.6862,0.0969000000000051,0.0,0,0.0
56,56,98924,6/5/2018,98924,0,QCOM,57.1555,6562650,57.2594,0.2616000000000014,0.0,0,0.0
57,57,98925,6/6/2018,98925,0,QCOM,57.9889,6236683,57.7065,0.8333999999999975,0.0,0,0.0
58,58,98926,6/7/2018,98926,0,QCOM,58.7642,14786130,59.2202,0.7753000000000014,0.0,0,0.0
59,59,98927,6/8/2018,98927,0,QCOM,58.3959,7035297,58.4338,-0.36830000000000496,0.0,0,0.0
60,60,98928,6/11/2018,98928,0,QCOM,58.0761,7369462,58.2523,-0.31980000000000075,0.0,0,0.0
61,61,98929,6/12/2018,98929,0,QCOM,57.9405,7153498,58.0011,-0.1355999999999966,0.0,0,0.0
62,62,98930,6/13/2018,98930,0,QCOM,57.3881,9676268,57.7256,-0.5523999999999987,0.0,0,0.0
63,63,98931,6/14/2018,98931,0,QCOM,57.6207,8372926,57.5327,0.2325999999999979,0.0,0,0.0
64,64,98932,6/15/2018,98932,0,QCOM,58.0083,13804932,57.8483,0.3875999999999991,0.0,0,0.0
