,Unnamed: 0,Unnamed: 0.1,date,index,day_index,ticker,close,volume,vwap,change,P/E,EPS,PEG
0,0,105780,3/15/2018,105780,0,SNA,148.8475,520666,149.082,0.0,0.0,0,0.0
1,1,105781,3/16/2018,105781,0,SNA,149.591,1223818,149.7061,0.7435000000000116,0.0,0,0.0
2,2,105782,3/19/2018,105782,0,SNA,146.1961,839405,146.5506,-3.3949000000000065,0.0,0,0.0
3,3,105783,3/20/2018,105783,0,SNA,147.5267,613897,147.651,1.3306000000000042,0.0,0,0.0
4,4,105784,3/21/2018,105784,0,SNA,148.417,539554,149.0083,0.8902999999999963,0.0,0,0.0
5,5,105785,3/22/2018,105785,0,SNA,145.1982,559572,146.5213,-3.2187999999999874,0.0,0,0.0
6,6,105786,3/23/2018,105786,0,SNA,143.0947,465236,144.8405,-2.103500000000025,0.0,0,0.0
7,7,105787,3/26/2018,105787,0,SNA,145.6287,947390,145.3579,2.53400000000002,0.0,0,0.0
8,8,105788,3/27/2018,105788,0,SNA,143.2121,1061239,144.9065,-2.4166000000000167,0.0,0,0.0
9,9,105789,3/28/2018,105789,0,SNA,144.0339,492266,143.9861,0.8217999999999961,0.0,0,0.0
10,10,105790,3/29/2018,105790,0,SNA,144.347,628989,144.9487,0.3131000000000199,0.0,0,0.0
11,11,105791,4/2/2018,105791,0,SNA,142.3805,792472,141.9187,-1.9664999999999964,0.0,0,0.0
12,12,105792,4/3/2018,105792,0,SNA,144.8068,695398,143.6568,2.4262999999999977,0.0,0,0.0
13,13,105793,4/4/2018,105793,0,SNA,147.3017,619070,146.1293,2.494900000000001,0.0,0,0.0
14,14,105794,4/5/2018,105794,0,SNA,146.3722,545720,146.6781,-0.9295000000000186,0.0,0,0.0
15,15,105795,4/6/2018,105795,0,SNA,142.8012,530381,143.3059,-3.5709999999999984,0.0,0,0.0
16,16,105796,4/9/2018,105796,0,SNA,142.2533,355830,143.2414,-0.5478999999999985,0.0,0,0.0
17,17,105797,4/10/2018,105797,0,SNA,143.7404,608543,143.8618,1.4870999999999979,0.0,0,0.0
18,18,105798,4/11/2018,105798,0,SNA,141.4609,860579,141.5906,-2.2794999999999845,0.0,0,0.0
19,19,105799,4/12/2018,105799,0,SNA,142.2925,434461,142.409,0.8315999999999804,0.0,0,0.0
20,20,105800,4/13/2018,105800,0,SNA,142.4099,340528,142.4625,0.1174000000000035,0.0,0,0.0
21,21,105801,4/16/2018,105801,0,SNA,143.8774,680598,144.2686,1.4675000000000011,0.0,0,0.0
22,22,105802,4/17/2018,105802,0,SNA,141.3141,737890,141.8686,-2.563299999999998,0.0,0,0.0
