,Unnamed: 0,Unnamed: 0.1,date,index,day_index,ticker,close,volume,vwap,change,P/E,EPS,PEG
0,0,117812,3/15/2018,117812,0,URI,182.91,1012408,183.5282,0.0,0.0,0,0.0
1,1,117813,3/16/2018,117813,0,URI,186.29,1089177,186.071,3.3799999999999955,0.0,0,0.0
2,2,117814,3/19/2018,117814,0,URI,185.4,1018278,184.6445,-0.8899999999999864,0.0,0,0.0
3,3,117815,3/20/2018,117815,0,URI,185.16,1037793,186.0207,-0.2400000000000091,0.0,0,0.0
4,4,117816,3/21/2018,117816,0,URI,187.27,913840,188.0112,2.1100000000000136,0.0,0,0.0
5,5,117817,3/22/2018,117817,0,URI,180.26,1449081,182.9569,-7.010000000000019,0.0,0,0.0
6,6,117818,3/23/2018,117818,0,URI,174.18,1143188,177.87099999999995,-6.079999999999983,0.0,0,0.0
7,7,117819,3/26/2018,117819,0,URI,180.57,1430700,178.7813,6.389999999999987,0.0,0,0.0
8,8,117820,3/27/2018,117820,0,URI,177.15,1135675,179.8981,-3.4199999999999875,0.0,0,0.0
9,9,117821,3/28/2018,117821,0,URI,169.11,1815412,171.7903,-8.039999999999992,0.0,0,0.0
10,10,117822,3/29/2018,117822,0,URI,172.73,1567857,171.7311,3.619999999999976,0.0,0,0.0
11,11,117823,4/2/2018,117823,0,URI,166.6,1649828,166.5427,-6.129999999999996,0.0,0,0.0
12,12,117824,4/3/2018,117824,0,URI,169.5,1340028,168.3874,2.9000000000000057,0.0,0,0.0
13,13,117825,4/4/2018,117825,0,URI,173.68,1478003,170.4732,4.180000000000007,0.0,0,0.0
14,14,117826,4/5/2018,117826,0,URI,177.94,1356925,177.2034,4.259999999999991,0.0,0,0.0
15,15,117827,4/6/2018,117827,0,URI,172.14,1178682,173.5399,-5.800000000000012,0.0,0,0.0
16,16,117828,4/9/2018,117828,0,URI,171.94,932498,173.5831,-0.19999999999998866,0.0,0,0.0
17,17,117829,4/10/2018,117829,0,URI,177.97,1135921,177.2643,6.030000000000001,0.0,0,0.0
18,18,117830,4/11/2018,117830,0,URI,173.97,1026686,175.0405,-4.0,0.0,0,0.0
19,19,117831,4/12/2018,117831,0,URI,176.32,791564,176.5459,2.3499999999999943,0.0,0,0.0
20,20,117832,4/13/2018,117832,0,URI,172.95,1289879,174.6999,-3.3700000000000045,0.0,0,0.0
21,21,117833,4/16/2018,117833,0,URI,174.13,1663546,174.7738,1.1800000000000068,0.0,0,0.0
22,22,117834,4/17/2018,117834,0,URI,177.54,1456154,177.4406,3.4099999999999966,0.0,0,0.0
23,23,117835,4/18/2018,117835,0,URI,180.0,2129295,180.3069,2.4600000000000084,0.0,0,0.0
24,24,117836,4/19/2018,117836,0,URI,168.22,4919175,169.7875,-11.78,0.0,0,0.0
25,25,117837,4/20/2018,117837,0,URI,163.22,2347619,165.328,-5.0,0.0,0,0.0
26,26,117838,4/23/2018,117838,0,URI,163.61,1244051,163.5563,0.3900000000000148,0.0,0,0.0
27,27,117839,4/24/2018,117839,0,URI,156.43,2294058,158.8792,-7.180000000000009,0.0,0,0.0
28,28,117840,4/25/2018,117840,0,URI,157.88,1413792,156.7234,1.4499999999999886,0.0,0,0.0
29,29,117841,4/26/2018,117841,0,URI,155.35,1406490,155.5005,-2.5300000000000007,0.0,0,0.0
30,30,117842,4/27/2018,117842,0,URI,155.31,1090026,155.8742,-0.039999999999992035,0.0,0,0.0
31,31,117843,4/30/2018,117843,0,URI,150.0,1262900,151.9841,-5.310000000000001,230.76923076923077,0.6500,3393.6651583710404
32,32,117844,5/1/2018,117844,0,URI,148.64,1858958,148.0963,-1.3600000000000136,0.0,0,0.0
33,33,117845,5/2/2018,117845,0,URI,149.29,1261813,150.4925,0.6500000000000057,0.0,0,0.0
34,34,117846,5/3/2018,117846,0,URI,149.8,1420476,148.3339,0.5100000000000193,0.0,0,0.0
35,35,117847,5/4/2018,117847,0,URI,153.23,1112729,152.3699,3.4299999999999784,0.0,0,0.0
36,36,117848,5/7/2018,117848,0,URI,159.49,2258944,159.2096,6.260000000000019,0.0,0,0.0
37,37,117849,5/8/2018,117849,0,URI,159.33,1510945,159.1279,-0.1599999999999966,0.0,0,0.0
38,38,117850,5/9/2018,117850,0,URI,162.32,1180803,161.6099,2.9899999999999807,0.0,0,0.0
39,39,117851,5/10/2018,117851,0,URI,166.36,1335879,165.6805,4.0400000000000205,0.0,0,0.0
40,40,117852,5/11/2018,117852,0,URI,166.89,844953,167.1846,0.5299999999999727,0.0,0,0.0
41,41,117853,5/14/2018,117853,0,URI,165.56,918314,166.0516,-1.3299999999999843,0.0,0,0.0
42,42,117854,5/15/2018,117854,0,URI,165.55,811239,165.3487,-0.009999999999990905,0.0,0,0.0
43,43,117855,5/16/2018,117855,0,URI,169.48,1061310,168.6608,3.9299999999999775,0.0,0,0.0
44,44,117856,5/17/2018,117856,0,URI,170.36,842096,170.1492,0.8800000000000239,0.0,0,0.0
45,45,117857,5/18/2018,117857,0,URI,169.82,804923,170.6786,-0.5400000000000205,0.0,0,0.0
46,46,117858,5/21/2018,117858,0,URI,173.78,818781,172.9923,3.9600000000000084,0.0,0,0.0
