,Unnamed: 0,Unnamed: 0.1,date,index,day_index,ticker,close,volume,vwap,change,P/E,EPS,PEG
0,0,125236,3/15/2018,125236,0,WY,34.0791,3985742,33.9672,0.0,0.0,0,0.0
1,1,125237,3/16/2018,125237,0,WY,34.2705,5220211,34.2298,0.1914000000000016,0.0,0,0.0
2,2,125238,3/19/2018,125238,0,WY,33.993,2707955,33.9394,-0.2774999999999963,0.0,0,0.0
3,3,125239,3/20/2018,125239,0,WY,33.8591,4032115,33.8435,-0.13390000000000413,0.0,0,0.0
4,4,125240,3/21/2018,125240,0,WY,33.8495,3485557,34.0456,-0.009599999999998944,0.0,0,0.0
5,5,125241,3/22/2018,125241,0,WY,33.6773,3359246,33.8867,-0.17219999999999658,0.0,0,0.0
6,6,125242,3/23/2018,125242,0,WY,32.577,5798460,32.9136,-1.1003000000000045,0.0,0,0.0
7,7,125243,3/26/2018,125243,0,WY,33.0363,3811341,32.8147,0.4592999999999989,0.0,0,0.0
8,8,125244,3/27/2018,125244,0,WY,33.3903,5577685,33.3864,0.3540000000000063,0.0,0,0.0
9,9,125245,3/28/2018,125245,0,WY,33.5051,4378559,33.6351,0.11479999999999535,0.0,0,0.0
10,10,125246,3/29/2018,125246,0,WY,33.4859,3836782,33.5735,-0.019199999999997885,0.0,0,0.0
11,11,125247,4/2/2018,125247,0,WY,33.1128,4295491,33.1594,-0.3731000000000009,0.0,0,0.0
12,12,125248,4/3/2018,125248,0,WY,33.1798,6388867,33.0709,0.06700000000000017,0.0,0,0.0
13,13,125249,4/4/2018,125249,0,WY,33.7156,4303391,33.5739,0.5358000000000018,0.0,0,0.0
14,14,125250,4/5/2018,125250,0,WY,34.1939,3571077,34.088,0.4782999999999973,0.0,0,0.0
15,15,125251,4/6/2018,125251,0,WY,33.9452,3793906,34.056999999999995,-0.2486999999999995,0.0,0,0.0
16,16,125252,4/9/2018,125252,0,WY,33.7538,3161426,33.9287,-0.1914000000000016,0.0,0,0.0
17,17,125253,4/10/2018,125253,0,WY,33.8878,5338680,33.9146,0.13400000000000034,0.0,0,0.0
18,18,125254,4/11/2018,125254,0,WY,34.2131,3660100,34.3149,0.3252999999999986,0.0,0,0.0
19,19,125255,4/12/2018,125255,0,WY,34.3661,2688095,34.3881,0.1530000000000058,0.0,0,0.0
20,20,125256,4/13/2018,125256,0,WY,34.6245,2733771,34.6266,0.25839999999999463,0.0,0,0.0
21,21,125257,4/16/2018,125257,0,WY,34.9019,2965822,34.8918,0.2774000000000001,0.0,0,0.0
22,22,125258,4/17/2018,125258,0,WY,35.342,4941465,35.3108,0.44010000000000105,0.0,0,0.0
23,23,125259,4/18/2018,125259,0,WY,35.2559,3248979,35.4356,-0.08610000000000184,0.0,0,0.0
24,24,125260,4/19/2018,125260,0,WY,35.0454,3414980,34.9582,-0.21049999999999613,0.0,0,0.0
25,25,125261,4/20/2018,125261,0,WY,34.6914,4260511,34.7401,-0.3539999999999992,0.0,0,0.0
26,26,125262,4/23/2018,125262,0,WY,34.6436,2788070,34.7081,-0.047800000000002285,0.0,0,0.0
27,27,125263,4/24/2018,125263,0,WY,34.6149,3678651,34.635999999999996,-0.028700000000000614,0.0,0,0.0
28,28,125264,4/25/2018,125264,0,WY,34.6149,3457285,34.6036,0.0,0.0,0,0.0
29,29,125265,4/26/2018,125265,0,WY,35.0646,6091368,35.0764,0.4497,0.0,0,0.0
30,30,125266,4/27/2018,125266,0,WY,35.3994,5814407,35.3945,0.3348000000000013,0.0,0,0.0
31,31,125267,4/30/2018,125267,0,WY,35.1889,4546646,35.2979,-0.21050000000000324,54.136769230769225,0.6500,796.128959276018
32,32,125268,5/1/2018,125268,0,WY,34.8158,6572685,34.7325,-0.37309999999999377,0.0,0,0.0
33,33,125269,5/2/2018,125269,0,WY,34.9593,4498792,34.9789,0.14349999999999594,0.0,0,0.0
34,34,125270,5/3/2018,125270,0,WY,34.7584,3571668,34.8264,-0.2008999999999972,0.0,0,0.0
35,35,125271,5/4/2018,125271,0,WY,34.9306,3484316,34.9836,0.17219999999999658,0.0,0,0.0
36,36,125272,5/7/2018,125272,0,WY,35.1315,2665892,35.0313,0.2009000000000043,0.0,0,0.0
37,37,125273,5/8/2018,125273,0,WY,34.8158,5987457,34.808,-0.31569999999999965,0.0,0,0.0
38,38,125274,5/9/2018,125274,0,WY,34.8732,2880028,34.742,0.05739999999999412,0.0,0,0.0
39,39,125275,5/10/2018,125275,0,WY,35.1889,2451391,35.1634,0.31569999999999965,0.0,0,0.0
40,40,125276,5/11/2018,125276,0,WY,35.0359,1777461,35.0632,-0.1529999999999987,0.0,0,0.0
41,41,125277,5/14/2018,125277,0,WY,34.8158,3857001,34.8104,-0.22009999999999508,0.0,0,0.0
42,42,125278,5/15/2018,125278,0,WY,34.4044,6013587,34.3529,-0.4114000000000004,0.0,0,0.0
43,43,125279,5/16/2018,125279,0,WY,34.5671,3341152,34.5498,0.16270000000000095,0.0,0,0.0
44,44,125280,5/17/2018,125280,0,WY,34.7201,2997016,34.6668,0.1529999999999987,0.0,0,0.0
45,45,125281,5/18/2018,125281,0,WY,34.8732,7524015,34.8378,0.1530999999999949,0.0,0,0.0
46,46,125282,5/21/2018,125282,0,WY,35.2272,3855125,35.2219,0.3540000000000063,0.0,0,0.0
47,47,125283,5/22/2018,125283,0,WY,35.5047,4340272,35.4361,0.2774999999999963,0.0,0,0.0
48,48,125284,5/23/2018,125284,0,WY,35.2272,3708516,35.3263,-0.2774999999999963,0.0,0,0.0
49,49,125285,5/24/2018,125285,0,WY,35.0741,3198715,35.0615,-0.15310000000000198,0.0,0,0.0
50,50,125286,5/25/2018,125286,0,WY,35.3516,3356518,35.3363,0.2774999999999963,0.0,0,0.0
51,51,125287,5/29/2018,125287,0,WY,35.2368,5342569,35.2717,-0.11479999999999535,0.0,0,0.0
52,52,125288,5/30/2018,125288,0,WY,35.6195,3002202,35.5547,0.3826999999999998,0.0,0,0.0
53,53,125289,5/31/2018,125289,0,WY,35.7151,6302194,35.6905,0.09559999999999746,0.0,0,0.0
54,54,125290,6/1/2018,125290,0,WY,36.0596,3523561,36.0211,0.3445000000000036,0.0,0,0.0
55,55,125291,6/4/2018,125291,0,WY,36.2988,3613263,36.2971,0.23919999999999675,0.0,0,0.0
56,56,125292,6/5/2018,125292,0,WY,36.5666,5128956,36.5134,0.26780000000000115,0.0,0,0.0
57,57,125293,6/6/2018,125293,0,WY,36.691,2866213,36.6126,0.1244000000000014,0.0,0,0.0
58,58,125294,6/7/2018,125294,0,WY,36.7778,3072676,36.7305,0.08679999999999666,0.0,0,0.0
59,59,125295,6/8/2018,125295,0,WY,36.7682,2412467,36.7622,-0.009599999999998944,0.0,0,0.0
