,Unnamed: 0,date,index,day_index,ticker,close,volume,vwap,change
0,74551,3/15/2018,74551,0,LRCX,217.5089,2446239,218.8015,0.0
1,74552,3/16/2018,74552,0,LRCX,216.3779,2495774,216.9535,-1.1310000000000002
2,74553,3/19/2018,74553,0,LRCX,212.1463,4098138,210.1907,-4.2316000000000145
3,74554,3/20/2018,74554,0,LRCX,213.6576,2223840,213.9863,1.5113000000000056
4,74555,3/21/2018,74555,0,LRCX,218.679,3567495,219.3146,5.0214
5,74556,3/22/2018,74556,0,LRCX,209.4552,3249459,212.5654,-9.223800000000011
6,74557,3/23/2018,74557,0,LRCX,197.5696,5223498,202.4213,-11.885599999999982
7,74558,3/26/2018,74558,0,LRCX,209.5917,3458795,206.074,12.022099999999995
8,74559,3/27/2018,74559,0,LRCX,197.5599,4292277,203.0617,-12.031800000000004
9,74560,3/28/2018,74560,0,LRCX,191.31,3523856,192.5765,-6.249899999999997
10,74561,3/29/2018,74561,0,LRCX,198.0864,3578188,197.5944,6.776399999999995
11,74562,4/2/2018,74562,0,LRCX,189.0284,3550453,190.2925,-9.057999999999993
12,74563,4/3/2018,74563,0,LRCX,193.026,2682369,191.8707,3.9976000000000056
13,74564,4/4/2018,74564,0,LRCX,196.6336,3699715,192.8758,3.607599999999991
14,74565,4/5/2018,74565,0,LRCX,190.1497,3533893,191.7129,-6.4839000000000055
15,74566,4/6/2018,74566,0,LRCX,185.8888,3123943,187.7278,-4.260899999999992
16,74567,4/9/2018,74567,0,LRCX,188.2971,2656688,190.9226,2.408299999999997
17,74568,4/10/2018,74568,0,LRCX,195.1711,2714450,194.3238,6.873999999999995
18,74569,4/11/2018,74569,0,LRCX,195.8438,2449768,196.1022,0.6726999999999919
19,74570,4/12/2018,74570,0,LRCX,200.875,3084262,200.1477,5.0312000000000126
20,74571,4/13/2018,74571,0,LRCX,198.6519,2161394,199.7951,-2.223099999999988
21,74572,4/16/2018,74572,0,LRCX,198.4667,1941122,198.645,-0.1852000000000089
22,74573,4/17/2018,74573,0,LRCX,207.0274,6084517,205.2025,8.560699999999997
23,74574,4/18/2018,74574,0,LRCX,198.6812,9114892,195.9211,-8.34620000000001
24,74575,4/19/2018,74575,0,LRCX,185.6353,8773377,187.3664,-13.045899999999989
25,74576,4/20/2018,74576,0,LRCX,187.1173,4980703,188.0155,1.4819999999999993
26,74577,4/23/2018,74577,0,LRCX,187.0686,3488922,188.5842,-0.048699999999996635
27,74578,4/24/2018,74578,0,LRCX,181.1794,5034654,183.1294,-5.889200000000017
28,74579,4/25/2018,74579,0,LRCX,182.0082,3124797,181.6829,0.8288000000000011
29,74580,4/26/2018,74580,0,LRCX,185.6451,3611284,185.8437,3.6369000000000256
30,74581,4/27/2018,74581,0,LRCX,182.5835,3044768,183.1322,-3.061600000000027
31,74582,4/30/2018,74582,0,LRCX,180.4384,2990200,181.276,-2.145099999999985
32,74583,5/1/2018,74583,0,LRCX,185.6353,2833691,183.5934,5.196899999999999
33,74584,5/2/2018,74584,0,LRCX,184.787,2194770,185.4847,-0.8482999999999947
34,74585,5/3/2018,74585,0,LRCX,184.6993,2181518,183.6746,-0.08770000000001232
35,74586,5/4/2018,74586,0,LRCX,190.5884,3282664,189.3746,5.889100000000013
36,74587,5/7/2018,74587,0,LRCX,188.6481,3304704,189.468,-1.9403000000000077
37,74588,5/8/2018,74588,0,LRCX,189.9937,2148112,189.2867,1.3455999999999904
38,74589,5/9/2018,74589,0,LRCX,194.7323,2390888,193.8336,4.7386000000000195
39,74590,5/10/2018,74590,0,LRCX,198.9152,1890326,197.8263,4.182899999999989
40,74591,5/11/2018,74591,0,LRCX,196.5166,1945467,197.3997,-2.3985999999999876
41,74592,5/14/2018,74592,0,LRCX,198.9347,3343739,200.5638,2.4180999999999813
42,74593,5/15/2018,74593,0,LRCX,197.1406,1921417,196.4281,-1.794099999999986
43,74594,5/16/2018,74594,0,LRCX,201.7427,2254547,201.6798,4.602100000000007
44,74595,5/17/2018,74595,0,LRCX,198.2522,2607654,199.1614,-3.4905000000000257
45,74596,5/18/2018,74596,0,LRCX,190.6079,5250053,190.7941,-7.644299999999987
46,74597,5/21/2018,74597,0,LRCX,194.8786,2534625,194.1951,4.270700000000005
