,date,index,day_index,ticker,close,volume,vwap,target
56279,3/15/2018,56279,0,HES,47.7873,3816349,47.6852,
56280,3/16/2018,56280,0,HES,48.151,5179893,48.1371,
56281,3/19/2018,56281,0,HES,46.1652,3934159,46.4215,
56282,3/20/2018,56282,0,HES,47.571000000000005,2430782,47.4971,
56283,3/21/2018,56283,0,HES,49.8321,3725388,49.746,
56284,3/22/2018,56284,0,HES,49.2521,3555060,49.4189,
56285,3/23/2018,56285,0,HES,48.6229,4423112,49.2906,
56286,3/26/2018,56286,0,HES,49.6256,2660305,49.1332,
56287,3/27/2018,56287,0,HES,49.026,3224396,49.4169,
56288,3/28/2018,56288,0,HES,47.9053,3973143,48.1793,
56289,3/29/2018,56289,0,HES,49.7633,3358585,49.5044,
56290,4/2/2018,56290,0,HES,47.6791,3658165,47.5717,
56291,4/3/2018,56291,0,HES,49.5961,3706877,49.0406,
56292,4/4/2018,56292,0,HES,50.1467,3307147,49.5625,
56293,4/5/2018,56293,0,HES,51.6508,5161438,51.6418,
56294,4/6/2018,56294,0,HES,50.2253,3765660,50.2623,
56295,4/9/2018,56295,0,HES,50.7267,4161699,51.348,
56296,4/10/2018,56296,0,HES,52.7813,5508807,52.581,
56297,4/11/2018,56297,0,HES,54.0003,4891864,53.8923,
56298,4/12/2018,56298,0,HES,54.0691,4832029,54.0877,
56299,4/13/2018,56299,0,HES,55.3668,7047858,55.3329,
56300,4/16/2018,56300,0,HES,55.2882,4002547,55.2978,
56301,4/17/2018,56301,0,HES,55.3766,3572697,55.4459,
56302,4/18/2018,56302,0,HES,56.9397,6115304,56.9123,
56303,4/19/2018,56303,0,HES,57.215,3790516,57.3865,
56304,4/20/2018,56304,0,HES,56.8316,4378615,56.8259,
56305,4/23/2018,56305,0,HES,57.5492,3206098,57.1879,
56306,4/24/2018,56306,0,HES,56.6743,4718042,57.38,
56307,4/25/2018,56307,0,HES,58.3357,6011063,57.6027,
56308,4/26/2018,56308,0,HES,57.4509,4038924,57.4337,
56309,4/27/2018,56309,0,HES,55.6716,6108643,55.6524,
56310,4/30/2018,56310,0,HES,56.0255,5373531,56.1861,
56311,5/1/2018,56311,0,HES,56.6743,3103074,56.0651,
56312,5/2/2018,56312,0,HES,56.635,3806940,56.9783,
56313,5/3/2018,56313,0,HES,56.8119,3448959,56.4482,
56314,5/4/2018,56314,0,HES,57.7163,2925859,57.7266,
56315,5/7/2018,56315,0,HES,58.2177,4877892,59.2646,
56316,5/8/2018,56316,0,HES,59.8791,5257584,58.9339,
56317,5/9/2018,56317,0,HES,61.2947,7189462,61.5988,
56318,5/10/2018,56318,0,HES,62.2287,3548789,62.0362,
56319,5/11/2018,56319,0,HES,61.6585,3274657,61.7962,
56320,5/14/2018,56320,0,HES,62.0615,2818869,62.1824,
56321,5/15/2018,56321,0,HES,62.386,2321790,62.3742,
56322,5/16/2018,56322,0,HES,62.5334,2329467,62.3572,
56323,5/17/2018,56323,0,HES,64.067,4291710,64.0256,
56324,5/18/2018,56324,0,HES,63.5656,4000606,63.6961,
56325,5/21/2018,56325,0,HES,64.1653,2768879,64.3255,
56326,5/22/2018,56326,0,HES,62.7399,3283714,63.342,
56327,5/23/2018,56327,0,HES,62.0517,5567117,62.1083,
56328,5/24/2018,56328,0,HES,61.3439,2965551,61.4376,
56329,5/25/2018,56329,0,HES,58.1587,6229107,58.2885,
56330,5/29/2018,56330,0,HES,58.4242,3660625,58.1585,
56331,5/30/2018,56331,0,HES,59.9283,3439852,60.0086,
56332,5/31/2018,56332,0,HES,59.3974,3125232,59.5705,
56333,6/1/2018,56333,0,HES,60.754,3788901,60.6196,
56334,6/4/2018,56334,0,HES,59.8005,3032505,60.3242,
56335,6/5/2018,56335,0,HES,60.0462,2493100,59.9442,
56336,6/6/2018,56336,0,HES,60.5279,2698089,60.3723,
56337,6/7/2018,56337,0,HES,61.2751,2990410,61.2762,
56338,6/8/2018,56338,0,HES,60.7934,2093295,60.8152,
56339,6/11/2018,56339,0,HES,60.754,2444761,60.7956,
56340,6/12/2018,56340,0,HES,59.4466,2965602,59.9967,
56341,6/13/2018,56341,0,HES,59.4662,2822032,59.3434,
56342,6/14/2018,56342,0,HES,59.9381,3279924,59.838,
56343,6/15/2018,56343,0,HES,59.2668,6625585,59.1611,
56344,6/18/2018,56344,0,HES,60.8067,4560076,60.6803,
56345,6/19/2018,56345,0,HES,60.6093,2634015,60.5359,
56346,6/20/2018,56346,0,HES,61.8334,5572060,61.7825,
56347,6/21/2018,56347,0,HES,60.9153,3545607,61.0284,
56348,6/22/2018,56348,0,HES,63.7385,6864506,63.6798,
56349,6/25/2018,56349,0,HES,61.4879,4374910,62.0624,
56350,6/26/2018,56350,0,HES,62.9488,2553787,62.4093,
56351,6/27/2018,56351,0,HES,64.7256,5399900,65.2097,
56352,6/28/2018,56352,0,HES,64.7157,3294441,64.7483,
56353,6/29/2018,56353,0,HES,66.0286,5443229,66.5349,
56354,7/2/2018,56354,0,HES,64.0544,3023821,64.1558,
56355,7/3/2018,56355,0,HES,65.1106,1713376,65.4046,
56356,7/5/2018,56356,0,HES,65.5252,2664304,65.5211,
56357,7/6/2018,56357,0,HES,66.6801,2139275,66.6049,
56358,7/9/2018,56358,0,HES,68.3187,2639298,67.8796,
