,date,index,day_index,ticker,close,volume,vwap,target
62935,3/15/2018,62935,0,INTU,176.3923,1230949,175.9404,
62936,3/16/2018,62936,0,INTU,177.0466,1654794,176.9602,
62937,3/19/2018,62937,0,INTU,174.2213,1292933,173.6647,
62938,3/20/2018,62938,0,INTU,176.6104,1451021,176.2581,
62939,3/21/2018,62939,0,INTU,175.1333,1256689,175.843,
62940,3/22/2018,62940,0,INTU,173.3191,1531687,174.0182,
62941,3/23/2018,62941,0,INTU,168.40200000000002,1751539,171.6415,
62942,3/26/2018,62942,0,INTU,173.0217,2560669,171.9935,
62943,3/27/2018,62943,0,INTU,171.7528,1746500,173.1071,
62944,3/28/2018,62944,0,INTU,169.4528,1592909,170.1911,
62945,3/29/2018,62945,0,INTU,171.8519,1243973,171.4384,
62946,4/2/2018,62946,0,INTU,168.4119,1797204,168.5113,
62947,4/3/2018,62947,0,INTU,168.9968,1400116,167.8573,
62948,4/4/2018,62948,0,INTU,171.5545,2023995,169.4301,
62949,4/5/2018,62949,0,INTU,170.3451,2026796,170.9259,
62950,4/6/2018,62950,0,INTU,166.2309,1995825,167.2016,
62951,4/9/2018,62951,0,INTU,168.3177,1684242,169.2057,
62952,4/10/2018,62952,0,INTU,170.2255,1669724,169.9594,
62953,4/11/2018,62953,0,INTU,170.5037,812282,170.3333,
62954,4/12/2018,62954,0,INTU,172.5308,708221,172.3024,
62955,4/13/2018,62955,0,INTU,170.9012,678269,171.2246,
62956,4/16/2018,62956,0,INTU,174.1902,852316,173.8668,
62957,4/17/2018,62957,0,INTU,179.8542,1909068,178.6172,
62958,4/18/2018,62958,0,INTU,180.0429,1775005,179.8415,
62959,4/19/2018,62959,0,INTU,178.2742,1150450,178.6398,
62960,4/20/2018,62960,0,INTU,177.0023,1264656,177.0693,
62961,4/23/2018,62961,0,INTU,179.1586,943726,179.0817,
62962,4/24/2018,62962,0,INTU,177.4395,1220274,178.3393,
62963,4/25/2018,62963,0,INTU,175.2535,1504960,175.4078,
62964,4/26/2018,62964,0,INTU,184.0077,2036410,183.6284,
62965,4/27/2018,62965,0,INTU,185.4088,1110317,184.4786,
62966,4/30/2018,62966,0,INTU,183.6202,1444332,184.6732,
62967,5/1/2018,62967,0,INTU,186.0547,1001209,185.2663,
62968,5/2/2018,62968,0,INTU,184.7529,1190645,185.2227,
62969,5/3/2018,62969,0,INTU,185.2001,1245176,184.6269,
