,date,index,day_index,ticker,close,volume,vwap,target
88884,3/15/2018,88884,0,NUE,64.4778,1627496,64.5844,
88885,3/16/2018,88885,0,NUE,64.8773,3052293,64.8956,
88886,3/19/2018,88886,0,NUE,63.6497,2141523,63.6621,
88887,3/20/2018,88887,0,NUE,62.5488,2923740,63.1283,
88888,3/21/2018,88888,0,NUE,63.6692,2548950,63.5765,
88889,3/22/2018,88889,0,NUE,59.5188,3619425,60.5529,
88890,3/23/2018,88890,0,NUE,57.9112,3206559,58.8203,
88891,3/26/2018,88891,0,NUE,59.0414,2106381,58.6011,
88892,3/27/2018,88892,0,NUE,58.6809,2684085,59.1972,
88893,3/28/2018,88893,0,NUE,58.1612,2174300,58.196999999999996,
88894,3/29/2018,88894,0,NUE,59.8967,2692180,59.7333,
88895,4/2/2018,88895,0,NUE,58.6809,1887343,58.7703,
88896,4/3/2018,88896,0,NUE,59.6025,1569659,59.5129,
88897,4/4/2018,88897,0,NUE,59.9359,2346582,59.2727,
88898,4/5/2018,88898,0,NUE,61.8674,3859036,61.7402,
88899,4/6/2018,88899,0,NUE,59.5045,1899102,59.8836,
88900,4/9/2018,88900,0,NUE,59.3574,1401602,59.7925,
88901,4/10/2018,88901,0,NUE,60.9457,2734896,60.9691,
88902,4/11/2018,88902,0,NUE,59.7888,1658762,60.0058,
88903,4/12/2018,88903,0,NUE,60.7104,1421540,60.7119,
88904,4/13/2018,88904,0,NUE,60.4261,1490106,60.3853,
88905,4/16/2018,88905,0,NUE,61.2399,1777458,61.0661,
88906,4/17/2018,88906,0,NUE,62.8773,2575059,62.4644,
88907,4/18/2018,88907,0,NUE,64.1421,3854918,64.1978,
88908,4/19/2018,88908,0,NUE,63.8577,4019210,63.8265,
88909,4/20/2018,88909,0,NUE,62.3086,2854878,62.3386,
88910,4/23/2018,88910,0,NUE,61.6517,2339033,61.729,
88911,4/24/2018,88911,0,NUE,61.0438,4538361,60.8207,
88912,4/25/2018,88912,0,NUE,61.9458,1993820,61.7872,
88913,4/26/2018,88913,0,NUE,61.9066,1962532,61.6268,
88914,4/27/2018,88914,0,NUE,60.8183,2363759,60.6207,
88915,4/30/2018,88915,0,NUE,60.4163,2289652,60.4322,
88916,5/1/2018,88916,0,NUE,59.1809,3294125,59.2445,
88917,5/2/2018,88917,0,NUE,59.7986,2184709,59.9923,
88918,5/3/2018,88918,0,NUE,60.0241,2277885,59.9739,
88919,5/4/2018,88919,0,NUE,61.7105,2398578,61.3071,
88920,5/7/2018,88920,0,NUE,61.6125,1588340,61.6653,
88921,5/8/2018,88921,0,NUE,61.3968,1847818,61.2984,
88922,5/9/2018,88922,0,NUE,61.485,1372452,61.5403,
88923,5/10/2018,88923,0,NUE,62.6027,2077662,62.5242,
88924,5/11/2018,88924,0,NUE,61.887,3020927,62.1677,
88925,5/14/2018,88925,0,NUE,61.534,2836470,61.4867,
88926,5/15/2018,88926,0,NUE,61.7693,2478809,61.424,
88927,5/16/2018,88927,0,NUE,63.7107,3516951,63.2666,
88928,5/17/2018,88928,0,NUE,64.4754,2824255,64.4621,
88929,5/18/2018,88929,0,NUE,64.2597,1783431,64.1619,
88930,5/21/2018,88930,0,NUE,63.9068,1472788,63.7674,
88931,5/22/2018,88931,0,NUE,63.7793,1548061,64.1855,
88932,5/23/2018,88932,0,NUE,62.9655,1257753,62.8123,
88933,5/24/2018,88933,0,NUE,63.3479,3727505,63.066,
88934,5/25/2018,88934,0,NUE,62.7204,1269269,62.7657,
88935,5/29/2018,88935,0,NUE,61.4948,1777546,61.7547,
88936,5/30/2018,88936,0,NUE,62.8479,1942277,62.7622,
88937,5/31/2018,88937,0,NUE,62.9361,2994045,63.3732,
88938,6/1/2018,88938,0,NUE,64.5146,2666236,64.5283,
88939,6/4/2018,88939,0,NUE,64.348,1982595,64.4216,
88940,6/5/2018,88940,0,NUE,64.9853,2667774,64.9188,
88941,6/6/2018,88941,0,NUE,65.9559,2898195,65.6511,
88942,6/7/2018,88942,0,NUE,65.1127,2415450,65.2718,
88943,6/8/2018,88943,0,NUE,65.5441,1814012,65.4237,
88944,6/11/2018,88944,0,NUE,65.7696,2150046,65.8558,
88945,6/12/2018,88945,0,NUE,65.7598,1499897,65.9283,
88946,6/13/2018,88946,0,NUE,65.4657,1200594,65.5547,
88947,6/14/2018,88947,0,NUE,67.1913,3845887,66.8177,
88948,6/15/2018,88948,0,NUE,65.5441,3888875,65.8698,
88949,6/18/2018,88949,0,NUE,65.4461,2435428,65.3777,
88950,6/19/2018,88950,0,NUE,64.1911,3107294,63.8361,
88951,6/20/2018,88951,0,NUE,64.5931,2227373,64.314,
88952,6/21/2018,88952,0,NUE,63.6028,2318568,63.7297,
88953,6/22/2018,88953,0,NUE,64.9068,2555697,64.764,
88954,6/25/2018,88954,0,NUE,62.2204,3127232,62.1875,
88955,6/26/2018,88955,0,NUE,62.8675,1844980,62.79600000000001,
88956,6/27/2018,88956,0,NUE,61.7595,1748545,62.3284,
88957,6/28/2018,88957,0,NUE,61.8483,1894194,61.5297,
88958,6/29/2018,88958,0,NUE,61.651,1764019,61.931999999999995,
88959,7/2/2018,88959,0,NUE,61.9963,1505257,61.816,
88960,7/3/2018,88960,0,NUE,60.8422,1100243,61.2455,
88961,7/5/2018,88961,0,NUE,62.1443,1876933,61.9894,
88962,7/6/2018,88962,0,NUE,62.4796,1054198,62.3984,
88963,7/9/2018,88963,0,NUE,63.2984,1257307,63.045,
88964,7/10/2018,88964,0,NUE,63.8508,1449652,63.7729,
88965,7/11/2018,88965,0,NUE,63.0518,2719119,63.1389,
88966,7/12/2018,88966,0,NUE,63.0024,1854151,63.2604,
88967,7/13/2018,88967,0,NUE,63.248999999999995,1272778,63.2602,
88968,7/16/2018,88968,0,NUE,63.1405,1359426,63.2254,
88969,7/17/2018,88969,0,NUE,63.7423,1861528,63.6628,
88970,7/18/2018,88970,0,NUE,64.7188,2634377,64.6744,
88971,7/19/2018,88971,0,NUE,63.7916,3770669,63.488,
88972,7/20/2018,88972,0,NUE,65.3501,3220149,65.0601,
88973,7/23/2018,88973,0,NUE,65.8137,3013863,65.7958,
88974,7/24/2018,88974,0,NUE,66.8988,4795565,67.3076,
88975,7/25/2018,88975,0,NUE,67.0566,3099348,66.8744,
88976,7/26/2018,88976,0,NUE,66.6423,2866464,66.3201,
88977,7/27/2018,88977,0,NUE,66.6916,1675756,66.81,
88978,7/30/2018,88978,0,NUE,66.2971,2654857,66.635,
88979,7/31/2018,88979,0,NUE,66.0209,3188529,66.1572,
88980,8/1/2018,88980,0,NUE,64.7977,3227850,65.1957,
88981,8/2/2018,88981,0,NUE,63.6633,3081890,63.7335,
88982,8/3/2018,88982,0,NUE,63.5943,1589643,63.6102,
88983,8/6/2018,88983,0,NUE,63.1405,2436751,63.1152,
88984,8/7/2018,88984,0,NUE,63.6633,1502539,63.8753,
88985,8/8/2018,88985,0,NUE,63.5647,1203996,63.5488,
88986,8/9/2018,88986,0,NUE,62.5487,2159018,62.9896,
88987,8/10/2018,88987,0,NUE,62.5881,2980255,62.5286,
88988,8/13/2018,88988,0,NUE,62.3021,2840018,62.5305,
88989,8/14/2018,88989,0,NUE,62.6967,1345685,62.6686,
88990,8/15/2018,88990,0,NUE,60.2799,3765712,60.5143,
88991,8/16/2018,88991,0,NUE,60.9211,3865148,60.9285,
88992,8/17/2018,88992,0,NUE,61.5327,2155202,61.2682,
88993,8/20/2018,88993,0,NUE,61.7004,2766091,61.8094,
88994,8/21/2018,88994,0,NUE,62.9334,2835275,62.9958,
88995,8/22/2018,88995,0,NUE,62.9235,1454512,62.9597,
88996,8/23/2018,88996,0,NUE,61.1776,2074665,61.4913,
88997,8/24/2018,88997,0,NUE,61.6708,3157977,61.5343,
88998,8/27/2018,88998,0,NUE,62.8446,1587281,62.8038,
88999,8/28/2018,88999,0,NUE,62.963,1226243,62.9413,
89000,8/29/2018,89000,0,NUE,63.2195,1571092,63.2011,
89001,8/30/2018,89001,0,NUE,61.9371,2276337,61.9996,
89002,8/31/2018,89002,0,NUE,61.651,2203132,61.6714,
89003,9/4/2018,89003,0,NUE,61.365,2841471,61.2902,
89004,9/5/2018,89004,0,NUE,62.7657,3208112,62.4497,
89005,9/6/2018,89005,0,NUE,62.45,1750238,62.4705,
89006,9/7/2018,89006,0,NUE,62.381,2100489,62.3118,
89007,9/10/2018,89007,0,NUE,61.5919,1300116,61.8964,
89008,9/11/2018,89008,0,NUE,61.8483,2107201,61.59,
89009,9/12/2018,89009,0,NUE,62.6967,1536626,62.6046,
89010,9/13/2018,89010,0,NUE,62.6375,1430811,62.6528,
89011,9/14/2018,89011,0,NUE,61.73,2479313,61.6308,
89012,9/17/2018,89012,0,NUE,62.1936,1310136,62.3837,
89013,9/18/2018,89013,0,NUE,63.397,1997043,63.4455,
89014,9/19/2018,89014,0,NUE,63.9593,1666481,64.1767,
89015,9/20/2018,89015,0,NUE,63.5351,1729971,63.7487,
89016,9/21/2018,89016,0,NUE,63.5055,3230227,63.4963,
89017,9/24/2018,89017,0,NUE,62.8249,1368688,63.2035,
89018,9/25/2018,89018,0,NUE,63.7817,1817329,63.7561,
89019,9/26/2018,89019,0,NUE,62.4303,1934787,62.7319,
89020,9/27/2018,89020,0,NUE,62.5891,1522166,62.6443,
89021,9/28/2018,89021,0,NUE,62.9662,1825152,62.9188,
89022,10/1/2018,89022,0,NUE,63.8097,3060916,63.7582,
89023,10/2/2018,89023,0,NUE,64.8021,2318182,64.4247,
89024,10/3/2018,89024,0,NUE,64.8914,2066886,64.8928,
89025,10/4/2018,89025,0,NUE,64.5044,1632005,64.6213,
89026,10/5/2018,89026,0,NUE,63.7998,1790057,63.8496,
89027,10/8/2018,89027,0,NUE,64.2265,1567234,63.9272,
89028,10/9/2018,89028,0,NUE,63.2143,1747516,63.5134,
89029,10/10/2018,89029,0,NUE,60.5746,3776900,61.3707,
89030,10/11/2018,89030,0,NUE,59.998999999999995,2474743,60.5767,
89031,10/12/2018,89031,0,NUE,60.3463,3151883,60.3155,
89032,10/15/2018,89032,0,NUE,58.3219,3280048,59.0867,
89033,10/16/2018,89033,0,NUE,58.5005,3462681,58.5644,
89034,10/17/2018,89034,0,NUE,58.6394,2446194,58.294,
89035,10/18/2018,89035,0,NUE,57.8555,3846054,57.7421,
89036,10/19/2018,89036,0,NUE,57.9448,3483979,58.0535,
89037,10/22/2018,89037,0,NUE,58.7288,2767900,58.5675,
89038,10/23/2018,89038,0,NUE,58.173,3618972,57.817,
89039,10/24/2018,89039,0,NUE,55.2356,4707645,56.3212,
89040,10/25/2018,89040,0,NUE,57.2799,3944323,57.093999999999994,
89041,10/26/2018,89041,0,NUE,55.702,4610128,55.8185,
89042,10/29/2018,89042,0,NUE,56.4165,3574639,56.6379,
89043,10/30/2018,89043,0,NUE,57.4684,3865155,57.2478,
89044,10/31/2018,89044,0,NUE,58.6692,3923019,58.7935,
89045,11/1/2018,89045,0,NUE,59.5524,3035554,59.3634,
89046,11/2/2018,89046,0,NUE,60.0585,2868195,59.7522,
89047,11/5/2018,89047,0,NUE,60.8921,3617302,61.0035,
89048,11/6/2018,89048,0,NUE,61.95399999999999,2166837,61.7099,
89049,11/7/2018,89049,0,NUE,63.7204,4019628,63.2817,
89050,11/8/2018,89050,0,NUE,63.6311,2922263,63.5601,
89051,11/9/2018,89051,0,NUE,62.3013,3216967,62.1621,
89052,11/12/2018,89052,0,NUE,61.68600000000001,2603595,62.0501,
89053,11/13/2018,89053,0,NUE,62.599,1990441,62.86600000000001,
89054,11/14/2018,89054,0,NUE,61.6265,1903892,61.9663,
89055,11/15/2018,89055,0,NUE,62.3708,2041773,62.0108,
89056,11/16/2018,89056,0,NUE,62.7479,2989516,62.7385,
89057,11/19/2018,89057,0,NUE,61.6662,1785772,61.7473,
89058,11/20/2018,89058,0,NUE,59.7211,2426837,59.8687,
89059,11/21/2018,89059,0,NUE,60.1975,1981159,60.2833,
89060,11/23/2018,89060,0,NUE,58.9669,1019078,59.0001,
89061,11/26/2018,89061,0,NUE,58.9471,1936796,59.2178,
89062,11/27/2018,89062,0,NUE,57.8356,3437735,57.556000000000004,
89063,11/28/2018,89063,0,NUE,59.1952,2360624,58.3606,
89064,11/29/2018,89064,0,NUE,59.5227,1658960,59.4933,
89065,11/30/2018,89065,0,NUE,59.9494,2403187,59.7902,
89066,12/3/2018,89066,0,NUE,60.7234,2519555,60.8056,
89067,12/4/2018,89067,0,NUE,59.2051,3068298,59.8249,
89068,12/6/2018,89068,0,NUE,58.7288,2284617,58.0834,
89069,12/7/2018,89069,0,NUE,57.0715,2205741,57.9563,
89070,12/10/2018,89070,0,NUE,56.5455,1886974,56.4663,
89071,12/11/2018,89071,0,NUE,56.0295,1578067,56.4039,
89072,12/12/2018,89072,0,NUE,55.8707,3010754,56.2844,
89073,12/13/2018,89073,0,NUE,55.2753,3120600,55.4659,
89074,12/14/2018,89074,0,NUE,55.96,3614781,56.3008,
89075,12/17/2018,89075,0,NUE,54.402,3695103,55.187,
89076,12/18/2018,89076,0,NUE,54.5509,2841691,54.7453,
89077,12/19/2018,89077,0,NUE,53.2111,2614146,54.3193,
89078,12/20/2018,89078,0,NUE,51.8615,3036678,52.1105,
89079,12/21/2018,89079,0,NUE,51.534,5453100,51.678000000000004,
89080,12/24/2018,89080,0,NUE,49.6485,994127,50.0968,
89081,12/26/2018,89081,0,NUE,51.9111,1776601,50.9351,
89082,12/27/2018,89082,0,NUE,52.06,2062600,51.3208,
89083,12/28/2018,89083,0,NUE,51.9,1860380,52.0822,
89084,12/31/2018,89084,0,NUE,51.81,1681744,51.5089,
89085,1/2/2019,89085,0,NUE,52.21,2707331,52.0661,
89086,1/3/2019,89086,0,NUE,51.3,3321859,51.4073,
89087,1/4/2019,89087,0,NUE,53.83,2662427,53.7023,
89088,1/7/2019,89088,0,NUE,53.42,3021834,53.8044,
89089,1/8/2019,89089,0,NUE,55.26,2835576,55.0393,
89090,1/9/2019,89090,0,NUE,55.92,2145317,55.7482,
89091,1/10/2019,89091,0,NUE,56.49,2042416,56.1733,
89092,1/11/2019,89092,0,NUE,56.59,1619860,56.3571,
89093,1/14/2019,89093,0,NUE,56.26,1696092,56.2662,
89094,1/15/2019,89094,0,NUE,55.88,1689450,55.8541,
89095,1/16/2019,89095,0,NUE,56.87,2633243,56.7453,
89096,1/17/2019,89096,0,NUE,57.74,1926475,57.4239,
89097,1/18/2019,89097,0,NUE,58.73,3000513,58.4997,
89098,1/22/2019,89098,0,NUE,57.7,3052350,57.6763,
89099,1/23/2019,89099,0,NUE,57.28,2165081,57.1603,
89100,1/24/2019,89100,0,NUE,56.87,1883963,56.8322,
89101,1/25/2019,89101,0,NUE,58.1,3417127,58.1352,
89102,1/28/2019,89102,0,NUE,58.5,2963165,58.0961,
89103,1/29/2019,89103,0,NUE,60.13,3435049,60.1903,
89104,1/30/2019,89104,0,NUE,60.34,3529249,60.1772,
89105,1/31/2019,89105,0,NUE,61.24,4474863,60.9682,
89106,2/1/2019,89106,0,NUE,61.48,2904012,61.5564,
89107,2/4/2019,89107,0,NUE,62.1,2545446,61.8744,
89108,2/5/2019,89108,0,NUE,61.38,2355062,61.3948,
89109,2/6/2019,89109,0,NUE,60.44,3132501,60.603,
89110,2/7/2019,89110,0,NUE,59.34,2769321,59.34,
89111,2/8/2019,89111,0,NUE,59.82,2795615,59.5214,
89112,2/11/2019,89112,0,NUE,59.9,2602209,59.7438,
89113,2/12/2019,89113,0,NUE,61.58,2430901,61.4231,
89114,2/13/2019,89114,0,NUE,61.25,2166378,61.2197,
89115,2/14/2019,89115,0,NUE,59.73,4712177,59.7895,
89116,2/15/2019,89116,0,NUE,59.5,3952495,59.6684,
89117,2/19/2019,89117,0,NUE,59.89,2712839,59.7028,
89118,2/20/2019,89118,0,NUE,61.48,2469938,61.1981,
89119,2/21/2019,89119,0,NUE,61.06,2252131,61.0837,
89120,2/22/2019,89120,0,NUE,61.19,1852603,61.2758,
89121,2/25/2019,89121,0,NUE,61.46,1766176,61.4101,
89122,2/26/2019,89122,0,NUE,61.06,1277968,61.2364,
89123,2/27/2019,89123,0,NUE,60.9,2706668,60.8306,
89124,2/28/2019,89124,0,NUE,60.57,2427965,60.5209,
