,date,index,day_index,ticker,close,volume,vwap,target
96820,3/15/2018,96820,0,PRGO,83.4351,936241,83.8426,
96821,3/16/2018,96821,0,PRGO,83.2178,1440167,83.4029,
96822,3/19/2018,96822,0,PRGO,81.2122,1045316,81.4388,
96823,3/20/2018,96823,0,PRGO,79.7895,1143086,80.0109,
96824,3/21/2018,96824,0,PRGO,81.3505,758420,81.2918,
96825,3/22/2018,96825,0,PRGO,80.57,939289,81.1182,
96826,3/23/2018,96826,0,PRGO,79.4042,815308,80.1899,
96827,3/26/2018,96827,0,PRGO,80.9158,916143,79.9044,
96828,3/27/2018,96828,0,PRGO,80.9454,1032584,81.2731,
96829,3/28/2018,96829,0,PRGO,81.6074,988026,82.2564,
96830,3/29/2018,96830,0,PRGO,82.3385,711719,82.0992,
96831,4/2/2018,96831,0,PRGO,80.07600000000001,1207439,80.2143,
96832,4/3/2018,96832,0,PRGO,81.8247,1020438,81.3058,
96833,4/4/2018,96833,0,PRGO,82.3879,742867,81.5859,
96834,4/5/2018,96834,0,PRGO,82.7139,975257,83.0667,
96835,4/6/2018,96835,0,PRGO,81.0047,1150414,81.5164,
96836,4/9/2018,96836,0,PRGO,81.8939,747809,82.15100000000001,
96837,4/10/2018,96837,0,PRGO,82.9906,786308,83.1647,
96838,4/11/2018,96838,0,PRGO,80.9553,1855807,81.3139,
96839,4/12/2018,96839,0,PRGO,79.8883,1162644,80.1579,
96840,4/13/2018,96840,0,PRGO,79.7994,922980,79.8519,
96841,4/16/2018,96841,0,PRGO,80.491,1006074,80.3025,
96842,4/17/2018,96842,0,PRGO,81.4888,464403,81.3559,
96843,4/18/2018,96843,0,PRGO,81.7753,637322,81.6775,
96844,4/19/2018,96844,0,PRGO,81.7358,819328,81.2444,
96845,4/20/2018,96845,0,PRGO,80.5601,652268,80.6134,
96846,4/23/2018,96846,0,PRGO,80.9257,526190,80.8846,
96847,4/24/2018,96847,0,PRGO,79.5227,894247,79.9856,
96848,4/25/2018,96848,0,PRGO,76.8848,1544358,77.5196,
96849,4/26/2018,96849,0,PRGO,77.6554,1379168,77.6307,
96850,4/27/2018,96850,0,PRGO,78.4458,1220985,78.3585,
96851,4/30/2018,96851,0,PRGO,77.20100000000001,833958,77.7099,
96852,5/1/2018,96852,0,PRGO,77.1318,967560,77.146,
96853,5/2/2018,96853,0,PRGO,75.4028,1097224,75.9118,
96854,5/3/2018,96854,0,PRGO,74.3457,1940094,74.5263,
96855,5/4/2018,96855,0,PRGO,75.3436,2310078,75.0063,
96856,5/7/2018,96856,0,PRGO,76.3118,1521662,76.3073,
96857,5/8/2018,96857,0,PRGO,73.6047,2601763,74.5341,
96858,5/9/2018,96858,0,PRGO,72.5673,1609242,72.4339,
96859,5/10/2018,96859,0,PRGO,74.6322,1701803,74.3506,
96860,5/11/2018,96860,0,PRGO,76.5884,1625275,75.935,
96861,5/14/2018,96861,0,PRGO,74.0394,3174320,73.3052,
96862,5/15/2018,96862,0,PRGO,74.6421,1407672,74.2732,
96863,5/16/2018,96863,0,PRGO,74.7705,743492,74.8441,
96864,5/17/2018,96864,0,PRGO,74.9484,693285,74.9307,
96865,5/18/2018,96865,0,PRGO,75.2942,805352,75.2441,
96866,5/21/2018,96866,0,PRGO,74.7804,860466,75.1267,
96867,5/22/2018,96867,0,PRGO,75.0571,734126,75.2246,
96868,5/23/2018,96868,0,PRGO,74.2568,990334,74.4377,
96869,5/24/2018,96869,0,PRGO,74.2074,1033595,74.1786,
96870,5/25/2018,96870,0,PRGO,74.3358,1170674,74.2416,
96871,5/29/2018,96871,0,PRGO,73.3083,1074073,73.4972,
96872,5/30/2018,96872,0,PRGO,75.0274,980821,74.9874,
96873,5/31/2018,96873,0,PRGO,72.4621,1786789,73.0649,
96874,6/1/2018,96874,0,PRGO,73.3733,1038121,73.0594,
96875,6/4/2018,96875,0,PRGO,73.096,919805,72.9601,
96876,6/5/2018,96876,0,PRGO,73.304,917366,73.4748,
96877,6/6/2018,96877,0,PRGO,72.5215,1393330,72.5275,
96878,6/7/2018,96878,0,PRGO,72.5116,1093495,72.6594,
96879,6/8/2018,96879,0,PRGO,72.5612,855727,72.4491,
96880,6/11/2018,96880,0,PRGO,72.7791,1474491,72.8762,
96881,6/12/2018,96881,0,PRGO,73.3337,1012718,73.1561,
96882,6/13/2018,96882,0,PRGO,73.6011,993947,73.5384,
96883,6/14/2018,96883,0,PRGO,74.1162,1444369,73.9314,
96884,6/15/2018,96884,0,PRGO,74.3935,2107510,74.0028,
96885,6/18/2018,96885,0,PRGO,73.6507,1256083,73.4577,
96886,6/19/2018,96886,0,PRGO,74.9185,879278,74.5364,
96887,6/20/2018,96887,0,PRGO,75.1364,877668,75.2564,
96888,6/21/2018,96888,0,PRGO,74.6312,911184,74.5822,
96889,6/22/2018,96889,0,PRGO,74.9383,1091875,75.0498,
96890,6/25/2018,96890,0,PRGO,74.4034,757607,74.3333,
