,date,index,day_index,ticker,close,volume,vwap,target
97588,3/15/2018,97588,0,PSX,91.64200000000001,2695923,91.6949,
97589,3/16/2018,97589,0,PSX,92.9323,3193420,92.7287,
97590,3/19/2018,97590,0,PSX,91.5838,1778433,91.6228,
97591,3/20/2018,97591,0,PSX,92.2629,2011815,92.4791,
97592,3/21/2018,97592,0,PSX,93.2816,1623257,93.4139,
97593,3/22/2018,97593,0,PSX,91.8748,1401528,92.3834,
97594,3/23/2018,97594,0,PSX,90.6039,1743564,91.7757,
97595,3/26/2018,97595,0,PSX,93.1361,1618849,92.5637,
97596,3/27/2018,97596,0,PSX,92.8547,1533249,93.3471,
97597,3/28/2018,97597,0,PSX,91.5159,2399280,92.1222,
97598,3/29/2018,97598,0,PSX,93.0585,1553049,92.9767,
97599,4/2/2018,97599,0,PSX,92.1174,1677641,91.7783,
97600,4/3/2018,97600,0,PSX,93.3107,1511055,92.9437,
97601,4/4/2018,97601,0,PSX,93.1264,2492147,91.9525,
97602,4/5/2018,97602,0,PSX,94.8533,1856801,94.6789,
97603,4/6/2018,97603,0,PSX,94.0771,2596342,94.0939,
97604,4/9/2018,97604,0,PSX,94.8242,1401206,95.1843,
97605,4/10/2018,97605,0,PSX,97.2593,1831615,97.155,
97606,4/11/2018,97606,0,PSX,99.4907,2247500,99.0656,
97607,4/12/2018,97607,0,PSX,99.5683,2038655,99.681,
97608,4/13/2018,97608,0,PSX,100.6452,1496552,100.5204,
97609,4/16/2018,97609,0,PSX,103.6333,2142009,103.3661,
97610,4/17/2018,97610,0,PSX,104.6423,2087271,104.3308,
97611,4/18/2018,97611,0,PSX,105.6415,2488384,106.0276,
97612,4/19/2018,97612,0,PSX,107.3393,3075287,106.8828,
97613,4/20/2018,97613,0,PSX,107.6789,3155410,107.4469,
97614,4/23/2018,97614,0,PSX,108.1252,1958597,107.5984,
97615,4/24/2018,97615,0,PSX,105.9714,3092869,107.5522,
97616,4/25/2018,97616,0,PSX,106.5147,2043335,105.6491,
97617,4/26/2018,97617,0,PSX,109.1632,2819509,108.5146,
97618,4/27/2018,97618,0,PSX,108.0184,2062797,107.9427,
97619,4/30/2018,97619,0,PSX,107.9893,3310270,108.7436,
97620,5/1/2018,97620,0,PSX,108.5132,3783498,108.0053,
97621,5/2/2018,97621,0,PSX,111.1036,3452738,110.7518,
97622,5/3/2018,97622,0,PSX,112.1416,3096465,111.2781,
97623,5/4/2018,97623,0,PSX,112.161,2526421,111.9123,
97624,5/7/2018,97624,0,PSX,111.96700000000001,2631500,113.0441,
97625,5/8/2018,97625,0,PSX,112.78200000000001,3056835,111.9613,
97626,5/9/2018,97626,0,PSX,113.9947,3148062,114.0595,
97627,5/10/2018,97627,0,PSX,114.4409,1969581,114.3828,
97628,5/11/2018,97628,0,PSX,114.2469,1851381,114.2921,
97629,5/14/2018,97629,0,PSX,114.7611,2355224,114.7992,
97630,5/15/2018,97630,0,PSX,114.7902,1921735,114.5821,
97631,5/16/2018,97631,0,PSX,114.635,2034314,114.0884,
97632,5/17/2018,97632,0,PSX,118.2343,3571787,118.0335,
97633,5/18/2018,97633,0,PSX,117.5116,3430981,117.5041,
97634,5/21/2018,97634,0,PSX,118.5956,2064986,118.3284,
97635,5/22/2018,97635,0,PSX,115.9686,2780617,116.9277,
97636,5/23/2018,97636,0,PSX,116.1639,2507656,115.7187,
97637,5/24/2018,97637,0,PSX,116.037,1630805,115.9664,
97638,5/25/2018,97638,0,PSX,112.8924,1941711,112.7138,
97639,5/29/2018,97639,0,PSX,114.074,2961851,114.1622,
97640,5/30/2018,97640,0,PSX,116.3885,3583069,115.9049,
97641,5/31/2018,97641,0,PSX,113.7615,5907147,114.6004,
97642,6/1/2018,97642,0,PSX,116.2127,2757041,115.8308,
97643,6/4/2018,97643,0,PSX,116.4081,2979083,116.6492,
97644,6/5/2018,97644,0,PSX,116.0467,2369815,116.0176,
97645,6/6/2018,97645,0,PSX,113.9178,2413007,114.3642,
97646,6/7/2018,97646,0,PSX,114.6893,2478317,114.6899,
97647,6/8/2018,97647,0,PSX,114.1033,2220624,114.0082,
97648,6/11/2018,97648,0,PSX,114.2791,2225185,114.2783,
97649,6/12/2018,97649,0,PSX,112.8435,2471104,113.1115,
97650,6/13/2018,97650,0,PSX,113.0389,2973037,112.9289,
97651,6/14/2018,97651,0,PSX,112.8435,2464091,113.2592,
97652,6/15/2018,97652,0,PSX,111.6228,3483893,111.8175,
97653,6/18/2018,97653,0,PSX,112.2478,2654196,112.3671,
97654,6/19/2018,97654,0,PSX,111.8963,1997008,111.9154,
97655,6/20/2018,97655,0,PSX,111.906,2317034,111.8064,
97656,6/21/2018,97656,0,PSX,108.8396,2481159,109.4153,
97657,6/22/2018,97657,0,PSX,109.3962,3049905,109.9626,
97658,6/25/2018,97658,0,PSX,107.863,1799844,107.9723,
97659,6/26/2018,97659,0,PSX,108.2146,1878679,108.4178,
97660,6/27/2018,97660,0,PSX,108.1169,1831633,108.6064,
97661,6/28/2018,97661,0,PSX,109.1228,1723234,108.845,
97662,6/29/2018,97662,0,PSX,109.6794,1927994,110.0782,
97663,7/2/2018,97663,0,PSX,108.0193,2516549,108.2212,
97664,7/3/2018,97664,0,PSX,107.9216,1248929,108.4394,
97665,7/5/2018,97665,0,PSX,107.57,2070771,107.7302,
97666,7/6/2018,97666,0,PSX,108.5759,1561270,108.5596,
97667,7/9/2018,97667,0,PSX,109.9529,1608813,109.8297,
97668,7/10/2018,97668,0,PSX,110.5388,1867873,110.9063,
97669,7/11/2018,97669,0,PSX,108.0681,1433525,108.5833,
97670,7/12/2018,97670,0,PSX,108.5368,1249348,108.3558,
97671,7/13/2018,97671,0,PSX,109.1911,1563325,109.1881,
97672,7/16/2018,97672,0,PSX,108.7126,1795067,108.9184,
97673,7/17/2018,97673,0,PSX,108.4587,2061981,108.5754,
97674,7/18/2018,97674,0,PSX,108.3025,2561742,108.3188,
97675,7/19/2018,97675,0,PSX,108.3025,2333057,108.3541,
97676,7/20/2018,97676,0,PSX,107.7751,2338362,107.9474,
97677,7/23/2018,97677,0,PSX,107.8532,1568033,107.9842,
97678,7/24/2018,97678,0,PSX,108.615,2162999,108.6191,
97679,7/25/2018,97679,0,PSX,109.7185,1668740,109.4963,
97680,7/26/2018,97680,0,PSX,113.28299999999999,3212093,112.5605,
97681,7/27/2018,97681,0,PSX,116.0077,3715622,116.2694,
97682,7/30/2018,97682,0,PSX,119.289,3986269,118.9142,
97683,7/31/2018,97683,0,PSX,120.4511,3831112,120.3999,
97684,8/1/2018,97684,0,PSX,120.1288,2679293,120.1539,
97685,8/2/2018,97685,0,PSX,119.1913,2627005,118.946,
97686,8/3/2018,97686,0,PSX,118.8104,1691968,118.5655,
97687,8/6/2018,97687,0,PSX,119.6698,1542678,119.4499,
