,date,index,day_index,ticker,close,volume,vwap,target
105780,3/15/2018,105780,0,SNA,148.8475,520666,149.082,
105781,3/16/2018,105781,0,SNA,149.591,1223818,149.7061,
105782,3/19/2018,105782,0,SNA,146.1961,839405,146.5506,
105783,3/20/2018,105783,0,SNA,147.5267,613897,147.651,
105784,3/21/2018,105784,0,SNA,148.417,539554,149.0083,
105785,3/22/2018,105785,0,SNA,145.1982,559572,146.5213,
105786,3/23/2018,105786,0,SNA,143.0947,465236,144.8405,
105787,3/26/2018,105787,0,SNA,145.6287,947390,145.3579,
105788,3/27/2018,105788,0,SNA,143.2121,1061239,144.9065,
105789,3/28/2018,105789,0,SNA,144.0339,492266,143.9861,
105790,3/29/2018,105790,0,SNA,144.347,628989,144.9487,
105791,4/2/2018,105791,0,SNA,142.3805,792472,141.9187,
105792,4/3/2018,105792,0,SNA,144.8068,695398,143.6568,
105793,4/4/2018,105793,0,SNA,147.3017,619070,146.1293,
105794,4/5/2018,105794,0,SNA,146.3722,545720,146.6781,
105795,4/6/2018,105795,0,SNA,142.8012,530381,143.3059,
105796,4/9/2018,105796,0,SNA,142.2533,355830,143.2414,
105797,4/10/2018,105797,0,SNA,143.7404,608543,143.8618,
105798,4/11/2018,105798,0,SNA,141.4609,860579,141.5906,
105799,4/12/2018,105799,0,SNA,142.2925,434461,142.409,
105800,4/13/2018,105800,0,SNA,142.4099,340528,142.4625,
105801,4/16/2018,105801,0,SNA,143.8774,680598,144.2686,
105802,4/17/2018,105802,0,SNA,141.3141,737890,141.8686,
105803,4/18/2018,105803,0,SNA,140.5314,1195032,141.6841,
105804,4/19/2018,105804,0,SNA,149.2877,2819466,150.064,
105805,4/20/2018,105805,0,SNA,143.6622,1340193,144.5139,
105806,4/23/2018,105806,0,SNA,144.2003,938735,144.6,
105807,4/24/2018,105807,0,SNA,143.0067,829530,143.1759,
105808,4/25/2018,105808,0,SNA,143.1925,781744,142.5241,
105809,4/26/2018,105809,0,SNA,144.6405,578706,144.41899999999998,
105810,4/27/2018,105810,0,SNA,144.0437,475308,144.0147,
105811,4/30/2018,105811,0,SNA,142.1066,587919,142.9365,
105812,5/1/2018,105812,0,SNA,141.9696,640571,141.3125,
105813,5/2/2018,105813,0,SNA,142.0479,598071,142.7097,
105814,5/3/2018,105814,0,SNA,140.0325,695227,139.988,
105815,5/4/2018,105815,0,SNA,142.5762,391104,141.8929,
105816,5/7/2018,105816,0,SNA,143.4274,374020,143.1519,
105817,5/8/2018,105817,0,SNA,144.6992,499834,144.276,
105818,5/9/2018,105818,0,SNA,144.8362,526144,144.5718,
105819,5/10/2018,105819,0,SNA,144.5525,244220,144.2415,
105820,5/11/2018,105820,0,SNA,145.7558,425895,145.5198,
105821,5/14/2018,105821,0,SNA,146.3624,424479,146.4524,
105822,5/15/2018,105822,0,SNA,146.3037,457451,146.0544,
105823,5/16/2018,105823,0,SNA,147.4973,427535,147.4648,
105824,5/17/2018,105824,0,SNA,148.5442,389926,148.4723,
105825,5/18/2018,105825,0,SNA,147.8753,402065,148.1674,
105826,5/21/2018,105826,0,SNA,152.0166,645732,151.7576,
105827,5/22/2018,105827,0,SNA,150.3443,563519,151.0743,
105828,5/23/2018,105828,0,SNA,148.7114,399469,148.5263,
105829,5/24/2018,105829,0,SNA,149.282,270721,149.1175,
105830,5/25/2018,105830,0,SNA,148.7606,225013,148.6931,
105831,5/29/2018,105831,0,SNA,146.9211,335755,147.2805,
105832,5/30/2018,105832,0,SNA,147.8556,286413,147.8196,
105833,5/31/2018,105833,0,SNA,145.4063,550990,145.5143,
105834,6/1/2018,105834,0,SNA,148.3573,555539,148.1181,
105835,6/4/2018,105835,0,SNA,150.482,676696,150.0728,
105836,6/5/2018,105836,0,SNA,150.72799999999998,428590,150.8886,
105837,6/6/2018,105837,0,SNA,152.8822,306252,152.2764,
105838,6/7/2018,105838,0,SNA,153.8364,325978,153.8896,
105839,6/8/2018,105839,0,SNA,154.3774,235319,154.0733,
105840,6/11/2018,105840,0,SNA,155.3119,554022,155.3093,
105841,6/12/2018,105841,0,SNA,155.9611,396380,155.9637,
105842,6/13/2018,105842,0,SNA,155.9021,529994,155.9753,
105843,6/14/2018,105843,0,SNA,156.8759,635843,156.9613,
105844,6/15/2018,105844,0,SNA,158.5383,887097,157.8324,
105845,6/18/2018,105845,0,SNA,156.7382,414734,156.1795,
105846,6/19/2018,105846,0,SNA,156.1873,578567,155.5395,
105847,6/20/2018,105847,0,SNA,157.5448,688347,157.1984,
105848,6/21/2018,105848,0,SNA,156.1578,408366,156.3717,
105849,6/22/2018,105849,0,SNA,157.0628,827388,157.2758,
105850,6/25/2018,105850,0,SNA,157.0136,603557,156.3632,
105851,6/26/2018,105851,0,SNA,157.6825,551790,157.0978,
105852,6/27/2018,105852,0,SNA,159.2465,769097,158.9907,
105853,6/28/2018,105853,0,SNA,159.3547,981523,158.8303,
105854,6/29/2018,105854,0,SNA,158.0957,717942,159.9609,
105855,7/2/2018,105855,0,SNA,157.7317,558127,157.3274,
105856,7/3/2018,105856,0,SNA,157.4661,181262,157.7903,
105857,7/5/2018,105857,0,SNA,161.1844,802532,160.8424,
105858,7/6/2018,105858,0,SNA,160.6925,340266,160.5686,
105859,7/9/2018,105859,0,SNA,162.8665,317335,162.7193,
105860,7/10/2018,105860,0,SNA,163.6042,319542,163.3115,
105861,7/11/2018,105861,0,SNA,160.6532,490506,161.0458,
105862,7/12/2018,105862,0,SNA,161.4205,519124,161.3853,
105863,7/13/2018,105863,0,SNA,162.5615,276503,162.5469,
105864,7/16/2018,105864,0,SNA,161.1942,431145,161.2107,
105865,7/17/2018,105865,0,SNA,156.9644,1431685,156.3883,
105866,7/18/2018,105866,0,SNA,155.666,1398957,155.6448,
105867,7/19/2018,105867,0,SNA,170.4604,2717079,164.9921,
105868,7/20/2018,105868,0,SNA,170.9031,1729872,170.8942,
105869,7/23/2018,105869,0,SNA,168.3849,866925,169.2053,
105870,7/24/2018,105870,0,SNA,162.9943,1018537,163.7788,
105871,7/25/2018,105871,0,SNA,165.4929,760552,164.5452,
105872,7/26/2018,105872,0,SNA,166.0536,620109,166.1654,
105873,7/27/2018,105873,0,SNA,165.2666,409464,165.3667,
105874,7/30/2018,105874,0,SNA,164.5977,483447,165.2984,
105875,7/31/2018,105875,0,SNA,166.8208,544270,166.8139,
105876,8/1/2018,105876,0,SNA,164.4502,553601,164.8742,
105877,8/2/2018,105877,0,SNA,164.519,453193,164.6299,
105878,8/3/2018,105878,0,SNA,165.6798,451751,165.7866,
105879,8/6/2018,105879,0,SNA,166.0536,979556,165.6802,
105880,8/7/2018,105880,0,SNA,167.3323,1010964,166.9621,
105881,8/8/2018,105881,0,SNA,167.6274,450737,167.4265,
105882,8/9/2018,105882,0,SNA,168.7488,788211,168.6308,
105883,8/10/2018,105883,0,SNA,167.4012,331074,167.9539,
105884,8/13/2018,105884,0,SNA,167.47,303595,167.6676,
105885,8/14/2018,105885,0,SNA,169.0341,499286,169.0713,
105886,8/15/2018,105886,0,SNA,169.4669,518225,168.71099999999998,
105887,8/16/2018,105887,0,SNA,171.9478,380867,171.4361,
105888,8/17/2018,105888,0,SNA,173.3018,359833,172.958,
105889,8/20/2018,105889,0,SNA,175.4466,421087,175.1145,
105890,8/21/2018,105890,0,SNA,177.9769,487722,177.4236,
105891,8/22/2018,105891,0,SNA,175.3379,290230,176.0047,
105892,8/23/2018,105892,0,SNA,174.5571,366718,174.4396,
105893,8/24/2018,105893,0,SNA,174.0431,332614,173.9516,
105894,8/27/2018,105894,0,SNA,174.7844,350014,174.8517,
105895,8/28/2018,105895,0,SNA,175.753,302986,175.5296,
105896,8/29/2018,105896,0,SNA,176.9391,651897,176.7663,
105897,8/30/2018,105897,0,SNA,176.3856,356969,176.4027,
105898,8/31/2018,105898,0,SNA,174.7251,344143,174.6845,
105899,9/4/2018,105899,0,SNA,176.1484,357615,175.5014,
105900,9/5/2018,105900,0,SNA,178.9059,510903,178.2234,
105901,9/6/2018,105901,0,SNA,179.2914,465017,179.50599999999997,
105902,9/7/2018,105902,0,SNA,178.5007,425635,178.5297,
105903,9/10/2018,105903,0,SNA,181.6141,442374,181.4314,
105904,9/11/2018,105904,0,SNA,182.6222,645987,182.4999,
105905,9/12/2018,105905,0,SNA,184.2629,703980,183.507,
105906,9/13/2018,105906,0,SNA,184.0356,580055,184.085,
105907,9/14/2018,105907,0,SNA,184.253,620293,184.183,
105908,9/17/2018,105908,0,SNA,184.5496,682044,184.5935,
105909,9/18/2018,105909,0,SNA,185.0734,485126,184.8944,
105910,9/19/2018,105910,0,SNA,184.9251,383847,185.0935,
105911,9/20/2018,105911,0,SNA,185.4094,460144,185.0031,
105912,9/21/2018,105912,0,SNA,186.2693,644380,186.1209,
105913,9/24/2018,105913,0,SNA,183.6996,419025,184.1268,
105914,9/25/2018,105914,0,SNA,181.6833,552402,182.28799999999998,
105915,9/26/2018,105915,0,SNA,182.3455,521758,182.1271,
105916,9/27/2018,105916,0,SNA,182.0984,278327,182.417,
105917,9/28/2018,105917,0,SNA,181.4658,480049,181.5613,
105918,10/1/2018,105918,0,SNA,181.7722,290415,182.043,
105919,10/2/2018,105919,0,SNA,183.3833,503887,182.8558,
105920,10/3/2018,105920,0,SNA,182.4246,509932,183.2131,
105921,10/4/2018,105921,0,SNA,178.5205,714266,179.2223,
105922,10/5/2018,105922,0,SNA,177.3344,652181,177.7913,
105923,10/8/2018,105923,0,SNA,177.2356,641146,177.2295,
105924,10/9/2018,105924,0,SNA,175.9309,686178,176.6654,
105925,10/10/2018,105925,0,SNA,168.4588,860068,170.8787,
105926,10/11/2018,105926,0,SNA,165.8693,671143,167.7267,
105927,10/12/2018,105927,0,SNA,166.6698,531591,166.3175,
105928,10/15/2018,105928,0,SNA,167.2332,781953,167.2601,
105929,10/16/2018,105929,0,SNA,169.5954,606895,168.8512,
