,date,index,day_index,ticker,close,volume,vwap,target
111924,3/15/2018,111924,0,TMK,84.8762,575237,84.8138,
111925,3/16/2018,111925,0,TMK,84.9258,1345553,84.9384,
111926,3/19/2018,111926,0,TMK,84.777,725986,84.62299999999999,
111927,3/20/2018,111927,0,TMK,85.3624,475704,85.3585,
111928,3/21/2018,111928,0,TMK,85.3921,649719,85.7262,
111929,3/22/2018,111929,0,TMK,83.1795,554494,83.74,
111930,3/23/2018,111930,0,TMK,80.2821,560006,81.1979,
111931,3/26/2018,111931,0,TMK,83.4672,813142,82.6914,
111932,3/27/2018,111932,0,TMK,82.5246,676435,83.057,
111933,3/28/2018,111933,0,TMK,83.0505,653050,82.9537,
111934,3/29/2018,111934,0,TMK,83.5168,627987,83.6502,
111935,4/2/2018,111935,0,TMK,81.7174,600628,81.6711,
111936,4/3/2018,111936,0,TMK,83.0893,708351,82.7514,
111937,4/4/2018,111937,0,TMK,84.0934,1224229,83.6024,
111938,4/5/2018,111938,0,TMK,84.4612,822289,84.5357,
111939,4/6/2018,111939,0,TMK,82.4929,782615,82.6864,
111940,4/9/2018,111940,0,TMK,82.6619,392863,83.21,
111941,4/10/2018,111941,0,TMK,83.6759,518854,83.7752,
111942,4/11/2018,111942,0,TMK,82.9303,482571,82.9355,
111943,4/12/2018,111943,0,TMK,83.7355,441359,83.6783,
111944,4/13/2018,111944,0,TMK,83.8449,660424,83.93799999999999,
111945,4/16/2018,111945,0,TMK,84.5905,631988,84.6465,
111946,4/17/2018,111946,0,TMK,84.8589,684662,84.9857,
111947,4/18/2018,111947,0,TMK,85.2068,557629,85.2906,
111948,4/19/2018,111948,0,TMK,86.708,658006,86.6717,
111949,4/20/2018,111949,0,TMK,86.6682,792054,86.6227,
111950,4/23/2018,111950,0,TMK,86.3799,531186,86.5238,
111951,4/24/2018,111951,0,TMK,85.6144,822970,85.8375,
111952,4/25/2018,111952,0,TMK,85.9624,433398,85.7881,
